parameterisation,panel,exposure,window,spring,outside,ratio,p_interaction
90-day rolling anomaly,Pooled,Runoff,15-21 days,"1.06 (0.92, 1.22)","0.94 (0.80, 1.10)","1.13 (0.91, 1.40)",0.271
90-day rolling anomaly,Pooled,Runoff,22-28 days,"1.11 (0.92, 1.34)","0.87 (0.70, 1.09)","1.28 (0.96, 1.70)",0.097
90-day rolling anomaly,Pooled,Anseriformes,0-7 days,"1.05 (0.80, 1.36)","1.01 (0.68, 1.49)","1.04 (0.65, 1.67)",0.871
90-day rolling anomaly,Pooled,Anseriformes,8-14 days,"1.16 (1.02, 1.32)","1.08 (0.87, 1.35)","1.08 (0.84, 1.39)",0.563
90-day rolling anomaly,Pooled,Anseriformes,15-21 days,"1.29 (1.13, 1.48)","1.15 (0.88, 1.52)","1.12 (0.82, 1.52)",0.472
90-day rolling anomaly,Pooled,Anseriformes,22-28 days,"1.44 (1.13, 1.82)","1.23 (0.79, 1.92)","1.16 (0.70, 1.92)",0.555
25-year climatological anomaly,Minnesota,Temperature,0-7 days,"1.19 (0.94, 1.50)","1.24 (0.92, 1.66)","0.96 (0.66, 1.39)",0.827
25-year climatological anomaly,Minnesota,Temperature,8-14 days,"1.09 (0.94, 1.27)","1.13 (0.92, 1.38)","0.97 (0.75, 1.25)",0.815
25-year climatological anomaly,Minnesota,Temperature,15-21 days,"1.03 (0.87, 1.22)","1.06 (0.86, 1.30)","0.98 (0.75, 1.27)",0.855
25-year climatological anomaly,Minnesota,Temperature,22-28 days,"0.97 (0.76, 1.24)","0.99 (0.77, 1.27)","0.98 (0.69, 1.39)",0.914
25-year climatological anomaly,Minnesota,Precipitation,0-7 days,"1.01 (0.75, 1.38)","1.19 (0.86, 1.63)","0.85 (0.55, 1.33)",0.481
25-year climatological anomaly,Minnesota,Precipitation,8-14 days,"0.98 (0.80, 1.20)","1.03 (0.84, 1.26)","0.95 (0.71, 1.27)",0.725
25-year climatological anomaly,Minnesota,Precipitation,15-21 days,"0.95 (0.77, 1.16)","0.92 (0.75, 1.13)","1.03 (0.77, 1.37)",0.84
25-year climatological anomaly,Minnesota,Precipitation,22-28 days,"0.92 (0.71, 1.19)","0.82 (0.62, 1.08)","1.12 (0.76, 1.63)",0.568
25-year climatological anomaly,Minnesota,Soil moisture,0-7 days,"1.10 (0.70, 1.74)","0.83 (0.46, 1.51)","1.33 (0.62, 2.83)",0.46
25-year climatological anomaly,Minnesota,Soil moisture,8-14 days,"0.99 (0.75, 1.32)","0.91 (0.61, 1.36)","1.09 (0.67, 1.79)",0.721
25-year climatological anomaly,Minnesota,Soil moisture,15-21 days,"0.91 (0.71, 1.18)","0.97 (0.62, 1.51)","0.94 (0.56, 1.57)",0.821
25-year climatological anomaly,Minnesota,Soil moisture,22-28 days,"0.84 (0.60, 1.17)","1.03 (0.56, 1.90)","0.81 (0.41, 1.62)",0.555
25-year climatological anomaly,Minnesota,Wind speed,0-7 days,"1.24 (0.96, 1.59)","1.00 (0.63, 1.58)","1.24 (0.74, 2.10)",0.417
25-year climatological anomaly,Minnesota,Wind speed,8-14 days,"1.14 (0.97, 1.35)","0.96 (0.71, 1.30)","1.19 (0.84, 1.67)",0.325
25-year climatological anomaly,Minnesota,Wind speed,15-21 days,"1.09 (0.92, 1.30)","0.93 (0.68, 1.28)","1.17 (0.82, 1.67)",0.399
25-year climatological anomaly,Minnesota,Wind speed,22-28 days,"1.04 (0.82, 1.32)","0.91 (0.59, 1.38)","1.15 (0.71, 1.87)",0.58
25-year climatological anomaly,Minnesota,Runoff,0-7 days,"0.85 (0.54, 1.35)","1.06 (0.60, 1.87)","0.80 (0.39, 1.67)",0.561
25-year climatological anomaly,Minnesota,Runoff,8-14 days,"0.92 (0.69, 1.23)","1.02 (0.70, 1.48)","0.90 (0.56, 1.45)",0.662
25-year climatological anomaly,Minnesota,Runoff,15-21 days,"0.97 (0.74, 1.26)","0.99 (0.68, 1.44)","0.97 (0.61, 1.55)",0.91
25-year climatological anomaly,Minnesota,Runoff,22-28 days,"1.02 (0.72, 1.44)","0.96 (0.59, 1.57)","1.05 (0.58, 1.92)",0.865
25-year climatological anomaly,Minnesota,Anseriformes,0-7 days,"0.90 (0.59, 1.37)","0.89 (0.35, 2.26)","1.01 (0.36, 2.82)",0.981
25-year climatological anomaly,Minnesota,Anseriformes,8-14 days,"1.22 (1.01, 1.47)","1.24 (0.77, 1.99)","0.98 (0.59, 1.63)",0.942
25-year climatological anomaly,Minnesota,Anseriformes,15-21 days,"1.59 (1.20, 2.11)","1.67 (1.00, 2.79)","0.95 (0.53, 1.71)",0.876
25-year climatological anomaly,Minnesota,Anseriformes,22-28 days,"2.09 (1.25, 3.47)","2.25 (0.95, 5.31)","0.93 (0.34, 2.52)",0.884
